year,fire_name,acres,county,latitude,longitude
2013,201813283,1.0,San Diego,32.647983,-116.494083
2013,201813284,1.0,Madera,36.9857,-120.034117
2013,201813285,1.0,San Luis Obispo,35.539083,-120.610833
2013,201813286,1.0,Sonoma,38.511083,-122.913983
2013,201813287,1.0,Merced,37.157,-120.348117
2013,201813288,5.0,Humboldt,40.6236,-124.213083
2013,201813289,1.0,Lassen,40.956967,-120.960267
2013,201813290,1.0,Riverside,33.71215,-117.1198
2013,201813291,1.0,San Joaquin,37.719167,-121.536
2013,201813292,1.0,Shasta,40.523917,-121.949417
2013,201813293,38.0,Lake,39.157833,-122.587833
2013,201813295,1.0,Madera,36.921117,-120.0549
2013,201813296,1.0,Yuba,39.268667,-121.390067
2013,201813297,1.0,San Mateo,37.551017,-122.3761
2013,201813299,1.0,Santa Cruz,36.925917,-121.80215
2013,201813300,1.0,Yuba,39.264467,-121.597283
2013,201813301,1.0,Tuolumne,37.918367,-120.45255
2013,201813302,18.0,Santa Cruz,36.983233,-122.06945
2013,201813304,0.25,Calaveras,38.211833,-120.764467
2013,201813305,0.25,Riverside,33.71135,-116.203383
2013,201813306,0.25,Lake,39.0042,-122.714183
2013,201813307,0.25,Monterey,36.456567,-121.374283
2013,201813308,0.1,Shasta,40.730267,-122.318633
2013,201813309,0.1,Santa Cruz,37.029933,-122.040233
2013,201813310,0.05,Lassen,40.234667,-120.988333
2013,201813311,0.02,Humboldt,41.029683,-124.109717
2013,201813312,0.02,Shasta,40.883817,-121.652717
2013,201813313,0.02,Nevada,39.033483,-121.073217
2013,201813314,0.25,Butte,39.76685,-121.613917
2013,201813315,0.23,Humboldt,40.11605,-123.82035
2013,201813316,0.21,El Dorado,38.7339,-120.67595
2013,201813317,0.2,Mariposa,37.720717,-120.16325
2013,201813318,0.2,Nevada,39.215067,-121.17375
2013,201813319,0.1,Santa Cruz,36.94345,-121.788717
2013,201813320,0.05,Riverside,33.72255,-116.94775
2013,201813321,0.5,Riverside,33.687467,-117.14765
2013,201813324,0.5,Shasta,40.6157,-122.432717
2013,201813325,4.8,Mariposa,37.469517,-119.7701
2013,201813326,0.1,Riverside,33.923533,-116.687383
2013,201813327,0.1,Madera,37.068933,-120.316217
2013,201813329,0.1,San Diego,33.0658,-116.7596
2013,201813330,0.1,Santa Cruz,37.158467,-122.204783
2013,201813331,0.1,Riverside,33.739017,-117.278333
2013,201813332,0.1,Shasta,40.688467,-122.34125
2013,201813333,0.1,Riverside,33.76185,-116.902783
2013,201813334,0.1,Madera,37.31535,-119.61795
2013,201813335,0.1,Riverside,33.746083,-117.452067
2013,201813336,0.1,Riverside,33.710383,-116.28285
2013,201813337,0.1,Santa Clara,37.29825,-122.07605
2013,201813338,0.1,San Mateo,37.701217,-122.4495
2013,201813341,0.1,Placer,38.8783,-121.125833
2013,201813342,0.1,Butte,39.665783,-121.7441
2013,201813343,0.1,Humboldt,40.01655,-123.951917
2013,201813344,0.1,Merced,37.012917,-120.8188
2013,201813345,0.1,Tehama,39.8904,-122.173867
2013,201813346,0.1,Butte,39.428967,-121.605083
2013,201813347,0.1,Santa Cruz,36.972933,-122.127883
2013,201813348,0.1,Butte,39.372133,-121.706667
2013,201813349,0.1,Stanislaus,37.642483,-120.5907
2013,201813350,0.1,Riverside,33.81565,-117.226067
2013,201813351,0.1,Monterey,35.869433,-120.827533
2013,201813352,0.1,Siskiyou,41.655417,-122.7586
2013,201813353,1.0,Calaveras,38.198383,-120.893783
2013,201813354,1.0,Fresno,36.640083,-119.429833
2013,201813355,1.0,Yuba,39.138567,-121.597967
2013,201813356,1.0,Riverside,33.927133,-116.952483
2013,201813357,1.0,Modoc,41.3465,-121.208333
